"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","biome"
"371494",2862501599,"Asterales","Asteraceae","Eclipta","Eclipta prostrata","","SPECIES","Eclipta prostrata (L.) L.","Eclipta prostrata","","","Arkansas",33.291036,-91.162957,30,"Mississippi River Forest"
"413432",3760056416,"Asterales","Asteraceae","Krigia","Krigia cespitosa","","SPECIES","Krigia cespitosa (Raf.) K.L.Chambers ex Vuilleumier","Krigia cespitosa","","","Arkansas",33.406464,-91.563252,29,"Mississippi River Forest"
"445664",4162219741,"Asterales","Asteraceae","Helenium","Helenium flexuosum","","SPECIES","Helenium flexuosum Raf.","Helenium flexuosum","","","Arkansas",33.35118,-91.565971,24,"Mississippi River Forest"
"460460",3873313091,"Asterales","Asteraceae","Helenium","Helenium amarum","","SPECIES","Helenium amarum (Raf.) H.Rock","Helenium amarum","","","Arkansas",33.37122,-91.140328,5,"Mississippi River Forest"
"504061",2898270016,"Asterales","Asteraceae","Xanthium","Xanthium orientale","","SPECIES","Xanthium orientale L.","Xanthium orientale","","","Arkansas",33.601882,-91.165644,20,"Mississippi River Forest"
"509260",3961245770,"Asterales","Asteraceae","Pluchea","Pluchea camphorata","","SPECIES","Pluchea camphorata (L.) DC.","Pluchea camphorata","","","Arkansas",33.443617,-91.536628,49,"Mississippi River Forest"
"519871",4165429742,"Asterales","Asteraceae","Baccharis","Baccharis halimifolia","","SPECIES","Baccharis halimifolia L.","Baccharis halimifolia","","","Arkansas",33.148236,-91.604383,15,"Mississippi River Forest"
"531533",4153989675,"Asterales","Asteraceae","Ambrosia","Ambrosia bidentata","","SPECIES","Ambrosia bidentata Michx.","Ambrosia bidentata","","","Arkansas",33.346259,-91.568847,6,"Mississippi River Forest"
"578245",3343804803,"Asterales","Asteraceae","Smallanthus","Smallanthus uvedalia","","SPECIES","Smallanthus uvedalia (L.) Mack. ex Small","Smallanthus uvedalia","","","Arkansas",33.60451,-91.16805,10,"Mississippi River Forest"
"591956",4137903431,"Asterales","Asteraceae","Bradburia","Bradburia pilosa","","SPECIES","Bradburia pilosa (Nutt.) Semple","Bradburia pilosa","","","Arkansas",33.58514,-91.18827,10,"Mississippi River Forest"
"593010",2901579697,"Asterales","Asteraceae","Fleischmannia","Fleischmannia incarnata","","SPECIES","Fleischmannia incarnata (Walter) R.M.King & H.Rob.","Fleischmannia incarnata","","","Arkansas",33.330322,-91.144338,8,"Mississippi River Forest"
"595668",3302555904,"Asterales","Asteraceae","Lactuca","Lactuca floridana","","SPECIES","Lactuca floridana (L.) Gaertn.","Lactuca floridana","","","Arkansas",33.58492,-91.18743,10,"Mississippi River Forest"
"613057",3457016391,"Asterales","Asteraceae","Eupatorium","Eupatorium capillifolium","","SPECIES","Eupatorium capillifolium (Lam.) Small","Eupatorium capillifolium","","","Arkansas",33.40661,-91.565985,4,"Mississippi River Forest"
"615891",3343900271,"Asterales","Asteraceae","Bidens","Bidens bipinnata","","SPECIES","Bidens bipinnata L.","Bidens bipinnata","","","Arkansas",33.60087,-91.17116,10,"Mississippi River Forest"
"695911",3058771085,"Asterales","Asteraceae","Soliva","Soliva sessilis","","SPECIES","Soliva sessilis Ruiz & Pav.","Soliva sessilis","","","Arkansas",33.60497,-91.19204,10,"Mississippi River Forest"
"698701",3384091294,"Asterales","Asteraceae","Acmella","Acmella repens","","SPECIES","Acmella repens (Walter) Richard","Acmella repens","","","Arkansas",33.447068,-91.539265,40,"Mississippi River Forest"
"715909",4405318710,"Asterales","Asteraceae","Eclipta","Eclipta prostrata","","SPECIES","Eclipta prostrata (L.) L.","Eclipta prostrata","","","Arkansas",33.597827,-91.2141,31,"Mississippi River Forest"
"747976",4162307597,"Asterales","Asteraceae","Mikania","Mikania scandens","","SPECIES","Mikania scandens (L.) Willd.","Mikania scandens","","","Arkansas",33.148236,-91.604383,15,"Mississippi River Forest"
"782092",3335329465,"Asterales","Asteraceae","Helenium","Helenium amarum","","SPECIES","Helenium amarum (Raf.) H.Rock","Helenium amarum","","","Arkansas",33.0734,-91.17671,10,"Mississippi River Forest"
"832485",3335227479,"Asterales","Asteraceae","Vernonia","Vernonia gigantea","","SPECIES","Vernonia gigantea (Walter) Trel.","Vernonia gigantea","","","Arkansas",33.11493,-91.30538,10,"Mississippi River Forest"
"835222",3301871896,"Asterales","Asteraceae","Coreopsis","Coreopsis tinctoria","","SPECIES","Coreopsis tinctoria Nutt.","Coreopsis tinctoria","","","Arkansas",33.58483,-91.18815,10,"Mississippi River Forest"
"950095",2550071448,"Asterales","Asteraceae","Eclipta","Eclipta prostrata","","SPECIES","Eclipta prostrata (L.) L.","Eclipta prostrata","","","Arkansas",33.098532,-91.637861,5,"Mississippi River Forest"
"963182",3455486003,"Asterales","Asteraceae","Solidago","Solidago altissima","","SPECIES","Solidago altissima L.","Solidago altissima","","","Arkansas",33.406683,-91.565986,20,"Mississippi River Forest"
"90831",3760007401,"Ericales","Polemoniaceae","Phlox","Phlox pilosa","","SPECIES","Phlox pilosa L.","Phlox pilosa","","","Arkansas",33.406464,-91.563252,29,"Mississippi River Forest"
"17495",4162476427,"Ericales","Ebenaceae","Diospyros","Diospyros virginiana","","SPECIES","Diospyros virginiana L.","Diospyros virginiana","","","Arkansas",33.148236,-91.604383,15,"Mississippi River Forest"
"93793",4103292052,"Ericales","Primulaceae","Lysimachia","Lysimachia minima","","SPECIES","Lysimachia minima (L.) U.Manns & Anderb.","Lysimachia minima","","","Arkansas",33.554845,-91.383477,6,"Mississippi River Forest"
"122981",3330924582,"Ericales","Ebenaceae","Diospyros","Diospyros virginiana","","SPECIES","Diospyros virginiana L.","Diospyros virginiana","","","Arkansas",33.219563,-91.544,32,"Mississippi River Forest"
"138430",3455345174,"Ericales","Ericaceae","Vaccinium","Vaccinium arboreum","","SPECIES","Vaccinium arboreum Marshall","Vaccinium arboreum","","","Arkansas",33.403369,-91.563443,4,"Mississippi River Forest"
"180638",3961116879,"Ericales","Ebenaceae","Diospyros","Diospyros virginiana","","SPECIES","Diospyros virginiana L.","Diospyros virginiana","","","Arkansas",33.44631,-91.539344,17,"Mississippi River Forest"
"209621",2826305404,"Ericales","Primulaceae","Lysimachia","Lysimachia minima","","SPECIES","Lysimachia minima (L.) U.Manns & Anderb.","Lysimachia minima","","","Arkansas",33.55478,-91.3836,10,"Mississippi River Forest"
"222602",4162411623,"Ericales","Ebenaceae","Diospyros","Diospyros virginiana","","SPECIES","Diospyros virginiana L.","Diospyros virginiana","","","Arkansas",33.351063,-91.565848,17,"Mississippi River Forest"
"11743",4165559828,"Aquifoliales","Aquifoliaceae","Ilex","Ilex decidua","","SPECIES","Ilex decidua Walter","Ilex decidua","","","Arkansas",33.350985,-91.56585,14,"Mississippi River Forest"
"14080",3456448102,"Aquifoliales","Aquifoliaceae","Ilex","Ilex decidua","","SPECIES","Ilex decidua Walter","Ilex decidua","","","Arkansas",33.403165,-91.563033,4,"Mississippi River Forest"
"229511",2641483748,"Aquifoliales","Aquifoliaceae","Ilex","Ilex decidua","","SPECIES","Ilex decidua Walter","Ilex decidua","","","Arkansas",33.406428,-91.563111,45,"Mississippi River Forest"
"42522",3302143269,"Boraginales","Heliotropiaceae","Heliotropium","Heliotropium indicum","","SPECIES","Heliotropium indicum L.","Heliotropium indicum","","","Arkansas",33.60162,-91.16735,10,"Mississippi River Forest"
"44204",4405411920,"Boraginales","Heliotropiaceae","Heliotropium","Heliotropium indicum","","SPECIES","Heliotropium indicum L.","Heliotropium indicum","","","Arkansas",33.597827,-91.2141,31,"Mississippi River Forest"
"453013",3455615307,"Boraginales","Heliotropiaceae","Euploca","Euploca procumbens","","SPECIES","Euploca procumbens (Mill.) Diane & Hilger","Euploca procumbens","","","Arkansas",33.60426,-91.20216,10,"Mississippi River Forest"
"49126",3314490950,"Boraginales","Boraginaceae","Hackelia","Hackelia virginiana","","SPECIES","Hackelia virginiana (L.) I.M.Johnst.","Hackelia virginiana","","","Arkansas",33.60268,-91.16618,10,"Mississippi River Forest"
"50590",3760053427,"Boraginales","Boraginaceae","Myosotis","Myosotis macrosperma","","SPECIES","Myosotis macrosperma Engelm.","Myosotis macrosperma","","","Arkansas",33.406464,-91.563252,29,"Mississippi River Forest"
"66178",3059012016,"Boraginales","Hydrophyllaceae","Nemophila","Nemophila aphylla","","SPECIES","Nemophila aphylla (L.) Brummitt","Nemophila aphylla","","","Arkansas",33.60418,-91.16911,10,"Mississippi River Forest"
"68694",3961103849,"Boraginales","Heliotropiaceae","Heliotropium","Heliotropium indicum","","SPECIES","Heliotropium indicum L.","Heliotropium indicum","","","Arkansas",33.44631,-91.539344,17,"Mississippi River Forest"
"101963",2963842816,"Boraginales","Heliotropiaceae","Euploca","Euploca procumbens","","SPECIES","Euploca procumbens (Mill.) Diane & Hilger","Euploca procumbens","","","Arkansas",33.389805,-91.194969,25,"Mississippi River Forest"
"102673",2963940808,"Boraginales","Heliotropiaceae","Heliotropium","Heliotropium indicum","","SPECIES","Heliotropium indicum L.","Heliotropium indicum","","","Arkansas",33.389887,-91.195045,48,"Mississippi River Forest"
"119055",2901564835,"Boraginales","Heliotropiaceae","Euploca","Euploca procumbens","","SPECIES","Euploca procumbens (Mill.) Diane & Hilger","Euploca procumbens","","","Arkansas",33.384098,-91.120311,38,"Mississippi River Forest"
"129446",2850761288,"Boraginales","Heliotropiaceae","Euploca","Euploca procumbens","","SPECIES","Euploca procumbens (Mill.) Diane & Hilger","Euploca procumbens","","","Arkansas",33.601527,-91.167279,25,"Mississippi River Forest"
"139856",2901529843,"Boraginales","Heliotropiaceae","Heliotropium","Heliotropium indicum","","SPECIES","Heliotropium indicum L.","Heliotropium indicum","","","Arkansas",33.383775,-91.119882,27,"Mississippi River Forest"
"173219",2634463289,"Celastrales","Celastraceae","Euonymus","Euonymus americanus","","SPECIES","Euonymus americanus L.","Euonymus americanus","","","Arkansas",33.405402,-91.562199,47,"Mississippi River Forest"
"184518",4162341355,"Cornales","Nyssaceae","Nyssa","Nyssa sylvatica","","SPECIES","Nyssa sylvatica Marshall","Nyssa sylvatica","","","Arkansas",33.148236,-91.604383,15,"Mississippi River Forest"
"211395",3337449444,"Cornales","Cornaceae","Cornus","Cornus drummondii","","SPECIES","Cornus drummondii C.A.Mey.","Cornus drummondii","","","Arkansas",33.291947,-91.164418,4,"Mississippi River Forest"
"235431",4405496723,"Cucurbitales","Cucurbitaceae","Sicyos","Sicyos angulatus","","SPECIES","Sicyos angulatus L.","Sicyos angulatus","","","Arkansas",33.597827,-91.2141,31,"Mississippi River Forest"
"271326",4102906058,"Geraniales","Geraniaceae","Geranium","Geranium dissectum","","SPECIES","Geranium dissectum L.","Geranium dissectum","","","Arkansas",33.399882,-91.467382,17,"Mississippi River Forest"
"298453",3112645050,"Geraniales","Geraniaceae","Geranium","Geranium carolinianum","","SPECIES","Geranium carolinianum L.","Geranium carolinianum","","","Arkansas",33.60458,-91.16736,10,"Mississippi River Forest"
"344274",2901603591,"Laurales","Lauraceae","Sassafras","Sassafras albidum","","SPECIES","Sassafras albidum (Nutt.) Nees","Sassafras albidum","","","Arkansas",33.601882,-91.165644,20,"Mississippi River Forest"
"404949",4405433946,"Malvales","Malvaceae","Sida","Sida spinosa","","SPECIES","Sida spinosa L.","Sida spinosa","","","Arkansas",33.597827,-91.2141,31,"Mississippi River Forest"
"4077201",4162398988,"Malvales","Malvaceae","Tilia","Tilia americana","","SPECIES","Tilia americana L.","Tilia americana","","","Arkansas",33.350985,-91.56585,14,"Mississippi River Forest"
"4218001",3994183489,"Malvales","Malvaceae","Hibiscus","Hibiscus laevis","","SPECIES","Hibiscus laevis All.","Hibiscus laevis","","","Arkansas",33.298192,-91.471987,4,"Mississippi River Forest"
"423458",3961097882,"Malvales","Malvaceae","Hibiscus","Hibiscus laevis","","SPECIES","Hibiscus laevis All.","Hibiscus laevis","","","Arkansas",33.44631,-91.539344,17,"Mississippi River Forest"
"433070",3923717334,"Malvales","Malvaceae","Hibiscus","Hibiscus laevis","","SPECIES","Hibiscus laevis All.","Hibiscus laevis","","","Arkansas",33.406249,-91.562152,11,"Mississippi River Forest"
"433306",3923382178,"Malvales","Malvaceae","Hibiscus","Hibiscus laevis","","SPECIES","Hibiscus laevis All.","Hibiscus laevis","","","Arkansas",33.604009,-91.201878,25,"Mississippi River Forest"
"448899",3455389099,"Malvales","Malvaceae","Hibiscus","Hibiscus laevis","","SPECIES","Hibiscus laevis All.","Hibiscus laevis","","","Arkansas",33.406346,-91.562629,4,"Mississippi River Forest"
"451632",3384345234,"Malvales","Malvaceae","Hibiscus","Hibiscus laevis","","SPECIES","Hibiscus laevis All.","Hibiscus laevis","","","Arkansas",33.447296,-91.539853,10,"Mississippi River Forest"
"4541801",3335303483,"Malvales","Malvaceae","Sida","Sida spinosa","","SPECIES","Sida spinosa L.","Sida spinosa","","","Arkansas",33.27915,-91.16723,10,"Mississippi River Forest"
"454500",3333322679,"Malvales","Malvaceae","Hibiscus","Hibiscus moscheutos","","SPECIES","Hibiscus lasiocarpos Cav.","Hibiscus lasiocarpos","","","Arkansas",33.218022,-91.526294,43,"Mississippi River Forest"
"5284721",3923694323,"Myrtales","Onagraceae","Ludwigia","Ludwigia decurrens","","SPECIES","Ludwigia decurrens Walter","Ludwigia decurrens","","","Arkansas",33.447217,-91.540249,4,"Mississippi River Forest"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mississippi River Forest"
"548919",3759796722,"Myrtales","Onagraceae","Oenothera","Oenothera laciniata","","SPECIES","Oenothera laciniata Hill","Oenothera laciniata","","","Arkansas",33.263137,-91.221026,5,"Mississippi River Forest"
"555719",3764516638,"Myrtales","Onagraceae","Oenothera","Oenothera speciosa","","SPECIES","Oenothera speciosa Nutt.","Oenothera speciosa","","","Arkansas",33.263145,-91.221045,5,"Mississippi River Forest"
"5571641",1901029598,"Myrtales","Lythraceae","Lythrum","Lythrum alatum","","SPECIES","Lythrum alatum Pursh","Lythrum alatum","","","Arkansas",33.102025,-91.639237,5,"Mississippi River Forest"
"572495",2859976245,"Myrtales","Lythraceae","Ammannia","Ammannia coccinea","","SPECIES","Ammannia coccinea Rottb.","Ammannia coccinea","","","Arkansas",33.237931,-91.103305,14,"Mississippi River Forest"
"5852731",4162430574,"Myrtales","Onagraceae","Ludwigia","Ludwigia glandulosa","","SPECIES","Ludwigia glandulosa Walter","Ludwigia glandulosa","","","Arkansas",33.148236,-91.604383,15,"Mississippi River Forest"
"599168",2826542638,"Nymphaeales","Cabombaceae","Cabomba","Cabomba caroliniana","","SPECIES","Cabomba caroliniana A.Gray","Cabomba caroliniana","","","Arkansas",33.33305,-91.55103,10,"Mississippi River Forest"
"630188",4162355403,"Piperales","Aristolochiaceae","Endodeca","Endodeca serpentaria","","SPECIES","Aristolochia serpentaria L.","Aristolochia serpentaria","","","Arkansas",33.350985,-91.56585,14,"Mississippi River Forest"
"6364721",3947299680,"Piperales","Aristolochiaceae","Endodeca","Endodeca serpentaria","","SPECIES","Aristolochia serpentaria L.","Aristolochia serpentaria","","","Arkansas",33.40551,-91.563048,44,"Mississippi River Forest"
"661092",3455487392,"Proteales","Platanaceae","Platanus","Platanus occidentalis","","SPECIES","Platanus occidentalis L.","Platanus occidentalis","","","Arkansas",33.406251,-91.562175,4,"Mississippi River Forest"
"662280",3335317566,"Proteales","Platanaceae","Platanus","Platanus occidentalis","","SPECIES","Platanus occidentalis L.","Platanus occidentalis","","","Arkansas",33.220386,-91.54441,44,"Mississippi River Forest"
"665575",2814212524,"Proteales","Platanaceae","Platanus","Platanus occidentalis","","SPECIES","Platanus occidentalis L.","Platanus occidentalis","","","Arkansas",33.147377,-91.271767,18,"Mississippi River Forest"
"702674",4103152317,"Saxifragales","Crassulaceae","Crassula","Crassula aquatica","","SPECIES","Crassula aquatica (L.) Schönland","Crassula aquatica","","","Arkansas",33.39981,-91.46733,10,"Mississippi River Forest"
"709423",4103184330,"Saxifragales","Crassulaceae","Crassula","Crassula aquatica","","SPECIES","Crassula aquatica (L.) Schönland","Crassula aquatica","","","Arkansas",33.55481,-91.38352,10,"Mississippi River Forest"
"715981",4162473694,"Saxifragales","Altingiaceae","Liquidambar","Liquidambar styraciflua","","SPECIES","Liquidambar styraciflua L.","Liquidambar styraciflua","","","Arkansas",33.148236,-91.604383,15,"Mississippi River Forest"
"719029",1931481510,"Saxifragales","Penthoraceae","Penthorum","Penthorum sedoides","","SPECIES","Penthorum sedoides L.","Penthorum sedoides","","","Arkansas",33.115039,-91.627762,5,"Mississippi River Forest"
"7198311",4162355057,"Saxifragales","Altingiaceae","Liquidambar","Liquidambar styraciflua","","SPECIES","Liquidambar styraciflua L.","Liquidambar styraciflua","","","Arkansas",33.350985,-91.56585,14,"Mississippi River Forest"
"741866",3961370826,"Saxifragales","Penthoraceae","Penthorum","Penthorum sedoides","","SPECIES","Penthorum sedoides L.","Penthorum sedoides","","","Arkansas",33.443617,-91.536628,49,"Mississippi River Forest"
"778306",4103315066,"Saxifragales","Crassulaceae","Crassula","Crassula aquatica","","SPECIES","Crassula aquatica (L.) Schönland","Crassula aquatica","","","Arkansas",33.554845,-91.383477,6,"Mississippi River Forest"
"794840",4405574305,"Vitales","Vitaceae","Nekemias","Nekemias arborea","","SPECIES","Nekemias arborea (L.) J.Wen & Boggan","Nekemias arborea","","","Arkansas",33.597827,-91.2141,31,"Mississippi River Forest"
"796768",4162461490,"Vitales","Vitaceae","Nekemias","Nekemias arborea","","SPECIES","Nekemias arborea (L.) J.Wen & Boggan","Nekemias arborea","","","Arkansas",33.351063,-91.565848,17,"Mississippi River Forest"
"796775",4162445481,"Vitales","Vitaceae","Nekemias","Nekemias arborea","","SPECIES","Nekemias arborea (L.) J.Wen & Boggan","Nekemias arborea","","","Arkansas",33.148236,-91.604383,15,"Mississippi River Forest"
"796854",4162257299,"Vitales","Vitaceae","Parthenocissus","Parthenocissus quinquefolia","","SPECIES","Parthenocissus quinquefolia (L.) Planch.","Parthenocissus quinquefolia","","","Arkansas",33.148236,-91.604383,15,"Mississippi River Forest"
"796898",4162172279,"Vitales","Vitaceae","Vitis","Vitis rotundifolia","","SPECIES","Vitis rotundifolia Michx.","Vitis rotundifolia","","","Arkansas",33.350985,-91.56585,14,"Mississippi River Forest"
"834427",3333387691,"Vitales","Vitaceae","Nekemias","Nekemias arborea","","SPECIES","Nekemias arborea (L.) J.Wen & Boggan","Nekemias arborea","","","Arkansas",33.065781,-91.607345,22,"Mississippi River Forest"
"834575",3333122691,"Vitales","Vitaceae","Parthenocissus","Parthenocissus quinquefolia","","SPECIES","Parthenocissus quinquefolia (L.) Planch.","Parthenocissus quinquefolia","","","Arkansas",33.065841,-91.607434,22,"Mississippi River Forest"
"849560",2634335205,"Vitales","Vitaceae","Vitis","Vitis palmata","","SPECIES","Vitis palmata Vahl","Vitis palmata","","","Arkansas",33.405402,-91.562199,47,"Mississippi River Forest"
"33786",4165606685,"Apiales","Apiaceae","Sanicula","Sanicula canadensis","","SPECIES","Sanicula canadensis L.","Sanicula canadensis","","","Arkansas",33.350985,-91.56585,14,"Mississippi River Forest"
"355661",3456022125,"Apiales","Apiaceae","Torilis","Torilis arvensis","","SPECIES","Torilis arvensis (Huds.) Link","Torilis arvensis","","","Arkansas",33.5849,-91.18764,10,"Mississippi River Forest"
"41969",2641518733,"Apiales","Apiaceae","Ptilimnium","Ptilimnium capillaceum","","SPECIES","Ptilimnium capillaceum (Michx.) Raf.","Ptilimnium capillaceum","","","Arkansas",33.406428,-91.563111,45,"Mississippi River Forest"
"61054",3760042445,"Apiales","Apiaceae","Chaerophyllum","Chaerophyllum tainturieri","","SPECIES","Chaerophyllum tainturieri Hook. & Arn.","Chaerophyllum tainturieri","","","Arkansas",33.406464,-91.563252,29,"Mississippi River Forest"
"617743",2641488750,"Apiales","Apiaceae","Cynosciadium","Cynosciadium digitatum","","SPECIES","Cynosciadium digitatum Nutt. ex DC.","Cynosciadium digitatum","","","Arkansas",33.406428,-91.563111,45,"Mississippi River Forest"
"72499",4153777340,"Apiales","Apiaceae","Trepocarpus","Trepocarpus aethusae","","SPECIES","Trepocarpus aethusae Nutt. ex DC.","Trepocarpus aethusae","","","Arkansas",33.346259,-91.568847,6,"Mississippi River Forest"
"103808",4162033723,"Apiales","Apiaceae","Sanicula","Sanicula canadensis","","SPECIES","Sanicula canadensis L.","Sanicula canadensis","","","Arkansas",33.148236,-91.604383,15,"Mississippi River Forest"
"112717",4162317967,"Apiales","Apiaceae","Trepocarpus","Trepocarpus aethusae","","SPECIES","Trepocarpus aethusae Nutt. ex DC.","Trepocarpus aethusae","","","Arkansas",33.350985,-91.56585,14,"Mississippi River Forest"
"148521",3966883309,"Lamiales","Lamiaceae","Callicarpa","Callicarpa americana","","SPECIES","Callicarpa americana L.","Callicarpa americana","","","Arkansas",33.079853,-91.479737,27,"Mississippi River Forest"
"167465",3124681425,"Lamiales","Plantaginaceae","Veronica","Veronica peregrina","peregrina","SUBSPECIES","Veronica peregrina subsp. peregrina","Veronica peregrina peregrina","","","Arkansas",33.60151,-91.16734,10,"Mississippi River Forest"
"198692",3961371893,"Lamiales","Linderniaceae","Lindernia","Lindernia dubia","","SPECIES","Lindernia dubia (L.) Pennell","Lindernia dubia","","","Arkansas",33.44631,-91.539344,17,"Mississippi River Forest"
"227812",3947803637,"Lamiales","Bignoniaceae","Bignonia","Bignonia capreolata","","SPECIES","Bignonia capreolata L.","Bignonia capreolata","","","Arkansas",33.40551,-91.563048,44,"Mississippi River Forest"
"231999",4405466185,"Lamiales","Bignoniaceae","Campsis","Campsis radicans","","SPECIES","Campsis radicans (L.) Bureau","Campsis radicans","","","Arkansas",33.597827,-91.2141,31,"Mississippi River Forest"
"259906",2634614345,"Lamiales","Oleaceae","Forestiera","Forestiera acuminata","","SPECIES","Forestiera acuminata (Michx.) Poir.","Forestiera acuminata","","","Arkansas",33.405402,-91.562199,47,"Mississippi River Forest"
"274077",4103233065,"Lamiales","Plantaginaceae","Plantago","Plantago pusilla","","SPECIES","Plantago pusilla Nutt.","Plantago pusilla","","","Arkansas",33.554845,-91.383477,6,"Mississippi River Forest"
"285245",3760109541,"Lamiales","Plantaginaceae","Veronica","Veronica peregrina","","SPECIES","Veronica peregrina L.","Veronica peregrina","","","Arkansas",33.406464,-91.563252,29,"Mississippi River Forest"
"286677",3112289023,"Lamiales","Plantaginaceae","Nuttallanthus","Nuttallanthus texanus","","SPECIES","Nuttallanthus texanus (Scheele) D.A.Sutton","Nuttallanthus texanus","","","Arkansas",33.58501,-91.18784,10,"Mississippi River Forest"
"288051",2901518692,"Lamiales","Lamiaceae","Perilla","Perilla frutescens","","SPECIES","Perilla frutescens (L.) Britton","Perilla frutescens","","","Arkansas",33.330322,-91.144338,8,"Mississippi River Forest"
"298343",3335560433,"Lamiales","Verbenaceae","Phyla","Phyla lanceolata","","SPECIES","Phyla lanceolata (Michx.) Greene","Phyla lanceolata","","","Arkansas",33.28963,-91.16772,10,"Mississippi River Forest"
"302285",3455376079,"Lamiales","Oleaceae","Forestiera","Forestiera acuminata","","SPECIES","Forestiera acuminata (Michx.) Poir.","Forestiera acuminata","","","Arkansas",33.404695,-91.563366,4,"Mississippi River Forest"
"3344461",3058796611,"Lamiales","Lamiaceae","Lamium","Lamium purpureum","","SPECIES","Lamium purpureum L.","Lamium purpureum","","","Arkansas",33.60422,-91.16897,10,"Mississippi River Forest"
"336107",2641538761,"Lamiales","Acanthaceae","Ruellia","Ruellia caroliniensis","","SPECIES","Ruellia caroliniensis (J.F.Gmel.) Steud.","Ruellia caroliniensis","","","Arkansas",33.406428,-91.563111,45,"Mississippi River Forest"
"352260",2901588841,"Lamiales","Tetrachondraceae","Polypremum","Polypremum procumbens","","SPECIES","Polypremum procumbens L.","Polypremum procumbens","","","Arkansas",33.380783,-91.11868,25,"Mississippi River Forest"
"3550811",3302304726,"Lamiales","Scrophulariaceae","Verbascum","Verbascum thapsus","","SPECIES","Verbascum thapsus L.","Verbascum thapsus","","","Arkansas",33.59911,-91.16731,10,"Mississippi River Forest"
"402423",4153994298,"Lamiales","Verbenaceae","Verbena","Verbena brasiliensis","","SPECIES","Verbena brasiliensis Vell.","Verbena brasiliensis","","","Arkansas",33.346259,-91.568847,6,"Mississippi River Forest"
"443915",4162144064,"Lamiales","Lamiaceae","Callicarpa","Callicarpa americana","","SPECIES","Callicarpa americana L.","Callicarpa americana","","","Arkansas",33.148236,-91.604383,15,"Mississippi River Forest"
